shard_id	entry	start	end	exit_status	duration_ns
alloc_connection_context	0x316c58	0x316c58	0x316e5a	0	17001033395
ext_init_connect_action	0x31a258	0x31a258	0x31a368	0	17023433760
lhci_common_cmd_complete	0x32e918	0x32e918	0x32eb32	0	16775490378
mst_discover_aux_post_process	0x31ef5c	0x31ef5c	0x31f17e	0	16859408459
mst_initiate_adv_handler	0x3205c4	0x3205c4	0x32074a	0	16893440098
mst_initiate_end_op	0x320908	0x320908	0x320978	0	16806886232
mst_initiate_ext_adv_handler	0x320978	0x320978	0x320b08	0	16975233405
mst_init_reset_handler	0x3205b4	0x3205b4	0x3205c4	0	16940980779
nvm_operation_gap	0x30ecf8	0x30ecf8	0x30ef12	0	16808635337
pal_crypto_aes_cmac	0x30fdb8	0x30fd6c	0x30ff0c	0	16938322672
pal_crypto_aes_ecb	0x30ff0c	0x30ff0c	0x30ff6e	0	17010184807
path_loss_reporting_setter	0x32754c	0x32754c	0x327630	0	16888091631
periodic_adv_subevent_data	0x3096a8	0x3096a8	0x3098ac	0	16766270508
setup_for_tx	0x32780c	0x32780c	0x3279a4	0	16969274338
sleep_manager_go_to_sleep	0x3126e0	0x3126e0	0x3128e2	0	16932932196
sleep_pre_manager_entry	0x3125a4	0x3125a4	0x3126e0	0	16834192269
